qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,year,round,race_name,surname,name
8438,1034,1,131,44,1,1:25.900,1:25.347,1:24.303,2020,4,British Grand Prix,Hamilton,Mercedes
8439,1034,822,131,77,2,1:25.801,1:25.015,1:24.616,2020,4,British Grand Prix,Bottas,Mercedes
8440,1034,830,9,33,3,1:26.115,1:26.144,1:25.325,2020,4,British Grand Prix,Verstappen,Red Bull
8441,1034,844,6,16,4,1:26.550,1:26.203,1:25.427,2020,4,British Grand Prix,Leclerc,Ferrari
8442,1034,846,1,4,5,1:26.855,1:26.420,1:25.782,2020,4,British Grand Prix,Norris,McLaren
8443,1034,840,211,18,6,1:26.243,1:26.501,1:25.839,2020,4,British Grand Prix,Stroll,Racing Point
8444,1034,832,1,55,7,1:26.715,1:26.149,1:25.965,2020,4,British Grand Prix,Sainz,McLaren
8445,1034,817,4,3,8,1:26.677,1:26.339,1:26.009,2020,4,British Grand Prix,Ricciardo,Renault
8446,1034,839,4,31,9,1:26.396,1:26.252,1:26.209,2020,4,British Grand Prix,Ocon,Renault
8447,1034,20,6,5,10,1:26.469,1:26.455,1:26.339,2020,4,British Grand Prix,Vettel,Ferrari
8448,1034,842,213,10,11,1:26.343,1:26.501,\N,2020,4,British Grand Prix,Gasly,AlphaTauri
8449,1034,848,9,23,12,1:26.565,1:26.545,\N,2020,4,British Grand Prix,Albon,Red Bull
8450,1034,807,211,27,13,1:26.327,1:26.566,\N,2020,4,British Grand Prix,Hülkenberg,Racing Point
8451,1034,826,213,26,14,1:26.774,1:26.744,\N,2020,4,British Grand Prix,Kvyat,AlphaTauri
8452,1034,847,3,63,15,1:26.732,1:27.092,\N,2020,4,British Grand Prix,Russell,Williams
8453,1034,825,210,20,16,1:27.158,\N,\N,2020,4,British Grand Prix,Magnussen,Haas F1 Team
8454,1034,841,51,99,17,1:27.164,\N,\N,2020,4,British Grand Prix,Giovinazzi,Alfa Romeo
8455,1034,8,51,7,18,1:27.366,\N,\N,2020,4,British Grand Prix,Räikkönen,Alfa Romeo
8456,1034,154,210,8,19,1:27.643,\N,\N,2020,4,British Grand Prix,Grosjean,Haas F1 Team
8457,1034,849,3,6,20,1:27.705,\N,\N,2020,4,British Grand Prix,Latifi,Williams
