constructorStandingsId,raceId,constructorId,points,position,positionText,wins,name,year,round,date,race_name
26733,969,6,37,1,1,1,Ferrari,2017,1,2017-03-26,Australian Grand Prix
26140,926,131,43,1,1,1,Mercedes,2015,1,2015-03-15,Australian Grand Prix
26141,926,6,15,2,2,0,Ferrari,2015,1,2015-03-15,Australian Grand Prix
26142,926,3,12,4,4,0,Williams,2015,1,2015-03-15,Australian Grand Prix
26143,926,15,14,3,3,0,Sauber,2015,1,2015-03-15,Australian Grand Prix
26144,926,9,8,5,5,0,Red Bull,2015,1,2015-03-15,Australian Grand Prix
26145,926,10,7,6,6,0,Force India,2015,1,2015-03-15,Australian Grand Prix
26146,926,5,2,7,7,0,Toro Rosso,2015,1,2015-03-15,Australian Grand Prix
26147,926,1,0,8,8,0,McLaren,2015,1,2015-03-15,Australian Grand Prix
26148,926,208,0,9,9,0,Lotus F1,2015,1,2015-03-15,Australian Grand Prix
26149,927,131,76,1,1,1,Mercedes,2015,2,2015-03-29,Malaysian Grand Prix
26150,927,6,52,2,2,1,Ferrari,2015,2,2015-03-29,Malaysian Grand Prix
26151,927,3,30,3,3,0,Williams,2015,2,2015-03-29,Malaysian Grand Prix
26152,927,15,14,4,4,0,Sauber,2015,2,2015-03-29,Malaysian Grand Prix
26153,927,9,11,6,6,0,Red Bull,2015,2,2015-03-29,Malaysian Grand Prix
26154,927,10,7,7,7,0,Force India,2015,2,2015-03-29,Malaysian Grand Prix
26155,927,5,12,5,5,0,Toro Rosso,2015,2,2015-03-29,Malaysian Grand Prix
26156,927,1,0,9,9,0,McLaren,2015,2,2015-03-29,Malaysian Grand Prix
26157,927,208,0,8,8,0,Lotus F1,2015,2,2015-03-29,Malaysian Grand Prix
26158,927,209,0,10,10,0,Manor Marussia,2015,2,2015-03-29,Malaysian Grand Prix
26159,928,131,119,1,1,2,Mercedes,2015,3,2015-04-12,Chinese Grand Prix
26160,928,6,79,2,2,1,Ferrari,2015,3,2015-04-12,Chinese Grand Prix
26161,928,3,48,3,3,0,Williams,2015,3,2015-04-12,Chinese Grand Prix
26162,928,15,19,4,4,0,Sauber,2015,3,2015-04-12,Chinese Grand Prix
26163,928,9,13,5,5,0,Red Bull,2015,3,2015-04-12,Chinese Grand Prix
26164,928,10,7,7,7,0,Force India,2015,3,2015-04-12,Chinese Grand Prix
26165,928,5,12,6,6,0,Toro Rosso,2015,3,2015-04-12,Chinese Grand Prix
26166,928,1,0,9,9,0,McLaren,2015,3,2015-04-12,Chinese Grand Prix
26167,928,208,6,8,8,0,Lotus F1,2015,3,2015-04-12,Chinese Grand Prix
