driverStandingsId,raceId,driverId,points,position,positionText,wins,date,round,surname
68609,989,20,25,1,1,1,2018-03-25,1,Vettel
68610,989,1,18,2,2,0,2018-03-25,1,Hamilton
68611,989,8,15,3,3,0,2018-03-25,1,Räikkönen
68612,989,817,12,4,4,0,2018-03-25,1,Ricciardo
68613,989,4,10,5,5,0,2018-03-25,1,Alonso
68614,989,830,8,6,6,0,2018-03-25,1,Verstappen
68615,989,807,6,7,7,0,2018-03-25,1,Hülkenberg
68616,989,822,4,8,8,0,2018-03-25,1,Bottas
68617,989,838,2,9,9,0,2018-03-25,1,Vandoorne
68618,989,832,1,10,10,0,2018-03-25,1,Sainz
68619,989,815,0,11,11,0,2018-03-25,1,Pérez
68620,989,839,0,12,12,0,2018-03-25,1,Ocon
68621,989,844,0,13,13,0,2018-03-25,1,Leclerc
68622,989,840,0,14,14,0,2018-03-25,1,Stroll
68623,989,843,0,15,15,0,2018-03-25,1,Hartley
68624,989,154,0,16,16,0,2018-03-25,1,Grosjean
68625,989,825,0,17,17,0,2018-03-25,1,Magnussen
68626,989,842,0,18,18,0,2018-03-25,1,Gasly
68627,989,828,0,19,19,0,2018-03-25,1,Ericsson
68628,989,845,0,20,20,0,2018-03-25,1,Sirotkin
68708,990,845,0,20,20,0,2018-04-08,2,Sirotkin
68693,990,4,16,4,4,0,2018-04-08,2,Alonso
68694,990,830,8,10,10,0,2018-04-08,2,Verstappen
68705,990,825,10,9,9,0,2018-04-08,2,Magnussen
68701,990,844,0,16,16,0,2018-04-08,2,Leclerc
68709,992,20,66,2,2,2,2018-04-29,4,Vettel
68707,990,828,2,12,12,0,2018-04-08,2,Ericsson
68706,990,842,12,7,7,0,2018-04-08,2,Gasly
68691,990,8,15,5,5,0,2018-04-08,2,Räikkönen
68704,990,154,0,17,17,0,2018-04-08,2,Grosjean
68702,990,840,0,18,18,0,2018-04-08,2,Stroll
68703,990,843,0,19,19,0,2018-04-08,2,Hartley
68700,990,839,1,14,14,0,2018-04-08,2,Ocon
68699,990,815,0,15,15,0,2018-04-08,2,Pérez
68698,990,832,1,13,13,0,2018-04-08,2,Sainz
68697,990,838,6,11,11,0,2018-04-08,2,Vandoorne
68696,990,822,22,3,3,0,2018-04-08,2,Bottas
68695,990,807,14,6,6,0,2018-04-08,2,Hülkenberg
68692,990,817,12,8,8,0,2018-04-08,2,Ricciardo
68689,990,20,50,1,1,2,2018-04-08,2,Vettel
68690,990,1,33,2,2,0,2018-04-08,2,Hamilton
68669,991,20,54,1,1,2,2018-04-15,3,Vettel
68670,991,1,45,2,2,0,2018-04-15,3,Hamilton
68671,991,8,30,5,5,0,2018-04-15,3,Räikkönen
68672,991,817,37,4,4,1,2018-04-15,3,Ricciardo
68673,991,4,22,6,6,0,2018-04-15,3,Alonso
68674,991,830,18,8,8,0,2018-04-15,3,Verstappen
68675,991,807,22,7,7,0,2018-04-15,3,Hülkenberg
68676,991,822,40,3,3,0,2018-04-15,3,Bottas
68677,991,838,6,11,11,0,2018-04-15,3,Vandoorne
68678,991,832,3,12,12,0,2018-04-15,3,Sainz
68679,991,815,0,15,15,0,2018-04-15,3,Pérez
68680,991,839,1,14,14,0,2018-04-15,3,Ocon
68681,991,844,0,16,16,0,2018-04-15,3,Leclerc
68682,991,840,0,18,18,0,2018-04-15,3,Stroll
68683,991,843,0,20,20,0,2018-04-15,3,Hartley
68684,991,154,0,17,17,0,2018-04-15,3,Grosjean
68685,991,825,11,10,10,0,2018-04-15,3,Magnussen
68686,991,842,12,9,9,0,2018-04-15,3,Gasly
68687,991,828,2,13,13,0,2018-04-15,3,Ericsson
68688,991,845,0,19,19,0,2018-04-15,3,Sirotkin
68710,992,1,70,1,1,1,2018-04-29,4,Hamilton
68711,992,8,48,3,3,0,2018-04-29,4,Räikkönen
68712,992,817,37,5,5,1,2018-04-29,4,Ricciardo
68713,992,4,28,6,6,0,2018-04-29,4,Alonso
68714,992,830,18,8,8,0,2018-04-29,4,Verstappen
68715,992,807,22,7,7,0,2018-04-29,4,Hülkenberg
68716,992,822,40,4,4,0,2018-04-29,4,Bottas
68717,992,838,8,14,14,0,2018-04-29,4,Vandoorne
68718,992,832,13,10,10,0,2018-04-29,4,Sainz
68719,992,815,15,9,9,0,2018-04-29,4,Pérez
68720,992,839,1,17,17,0,2018-04-29,4,Ocon
68721,992,844,8,13,13,0,2018-04-29,4,Leclerc
68722,992,840,4,15,15,0,2018-04-29,4,Stroll
68723,992,843,1,18,18,0,2018-04-29,4,Hartley
68724,992,154,0,19,19,0,2018-04-29,4,Grosjean
68725,992,825,11,12,12,0,2018-04-29,4,Magnussen
68726,992,842,12,11,11,0,2018-04-29,4,Gasly
68727,992,828,2,16,16,0,2018-04-29,4,Ericsson
68728,992,845,0,20,20,0,2018-04-29,4,Sirotkin
68729,993,20,78,2,2,2,2018-05-13,5,Vettel
68730,993,1,95,1,1,2,2018-05-13,5,Hamilton
68731,993,8,48,4,4,0,2018-05-13,5,Räikkönen
68732,993,817,47,5,5,1,2018-05-13,5,Ricciardo
68733,993,4,32,7,7,0,2018-05-13,5,Alonso
68734,993,830,33,6,6,0,2018-05-13,5,Verstappen
68735,993,807,22,8,8,0,2018-05-13,5,Hülkenberg
68736,993,822,58,3,3,0,2018-05-13,5,Bottas
68737,993,838,8,14,14,0,2018-05-13,5,Vandoorne
68738,993,832,19,10,10,0,2018-05-13,5,Sainz
68739,993,815,17,11,11,0,2018-05-13,5,Pérez
68740,993,839,1,17,17,0,2018-05-13,5,Ocon
68741,993,844,9,13,13,0,2018-05-13,5,Leclerc
68742,993,840,4,15,15,0,2018-05-13,5,Stroll
68743,993,843,1,18,18,0,2018-05-13,5,Hartley
68744,993,154,0,19,19,0,2018-05-13,5,Grosjean
68745,993,825,19,9,9,0,2018-05-13,5,Magnussen
68746,993,842,12,12,12,0,2018-05-13,5,Gasly
68747,993,828,2,16,16,0,2018-05-13,5,Ericsson
68748,993,845,0,20,20,0,2018-05-13,5,Sirotkin
68749,994,20,96,2,2,2,2018-05-27,6,Vettel
68750,994,1,110,1,1,2,2018-05-27,6,Hamilton
68751,994,8,60,5,5,0,2018-05-27,6,Räikkönen
68752,994,817,72,3,3,2,2018-05-27,6,Ricciardo
68753,994,4,32,7,7,0,2018-05-27,6,Alonso
68754,994,830,35,6,6,0,2018-05-27,6,Verstappen
68755,994,807,26,8,8,0,2018-05-27,6,Hülkenberg
68756,994,822,68,4,4,0,2018-05-27,6,Bottas
68757,994,838,8,15,15,0,2018-05-27,6,Vandoorne
68758,994,832,20,9,9,0,2018-05-27,6,Sainz
68759,994,815,17,12,12,0,2018-05-27,6,Pérez
68760,994,839,9,13,13,0,2018-05-27,6,Ocon
68761,994,844,9,14,14,0,2018-05-27,6,Leclerc
68762,994,840,4,16,16,0,2018-05-27,6,Stroll
68763,994,843,1,18,18,0,2018-05-27,6,Hartley
68764,994,154,0,19,19,0,2018-05-27,6,Grosjean
68765,994,825,19,10,10,0,2018-05-27,6,Magnussen
68766,994,842,18,11,11,0,2018-05-27,6,Gasly
68767,994,828,2,17,17,0,2018-05-27,6,Ericsson
68768,994,845,0,20,20,0,2018-05-27,6,Sirotkin
68769,995,20,121,1,1,3,2018-06-10,7,Vettel
68770,995,1,120,2,2,2,2018-06-10,7,Hamilton
68771,995,8,68,5,5,0,2018-06-10,7,Räikkönen
68772,995,817,84,4,4,2,2018-06-10,7,Ricciardo
68773,995,4,32,7,7,0,2018-06-10,7,Alonso
68774,995,830,50,6,6,0,2018-06-10,7,Verstappen
68775,995,807,32,8,8,0,2018-06-10,7,Hülkenberg
68776,995,822,86,3,3,0,2018-06-10,7,Bottas
68777,995,838,8,15,15,0,2018-06-10,7,Vandoorne
68778,995,832,24,9,9,0,2018-06-10,7,Sainz
68779,995,815,17,12,12,0,2018-06-10,7,Pérez
68780,995,839,11,13,13,0,2018-06-10,7,Ocon
68781,995,844,10,14,14,0,2018-06-10,7,Leclerc
68782,995,840,4,16,16,0,2018-06-10,7,Stroll
68783,995,843,1,18,18,0,2018-06-10,7,Hartley
68784,995,154,0,19,19,0,2018-06-10,7,Grosjean
68785,995,825,19,10,10,0,2018-06-10,7,Magnussen
68786,995,842,18,11,11,0,2018-06-10,7,Gasly
68787,995,828,2,17,17,0,2018-06-10,7,Ericsson
68788,995,845,0,20,20,0,2018-06-10,7,Sirotkin
68789,996,20,131,2,2,3,2018-06-24,8,Vettel
68790,996,1,145,1,1,3,2018-06-24,8,Hamilton
68791,996,8,83,5,5,0,2018-06-24,8,Räikkönen
68792,996,817,96,3,3,2,2018-06-24,8,Ricciardo
68793,996,4,32,8,8,0,2018-06-24,8,Alonso
68794,996,830,68,6,6,0,2018-06-24,8,Verstappen
68795,996,807,34,7,7,0,2018-06-24,8,Hülkenberg
68796,996,822,92,4,4,0,2018-06-24,8,Bottas
68797,996,838,8,15,15,0,2018-06-24,8,Vandoorne
68798,996,832,28,9,9,0,2018-06-24,8,Sainz
68799,996,815,17,12,12,0,2018-06-24,8,Pérez
68800,996,839,11,13,13,0,2018-06-24,8,Ocon
68801,996,844,11,14,14,0,2018-06-24,8,Leclerc
68802,996,840,4,16,16,0,2018-06-24,8,Stroll
68803,996,843,1,18,18,0,2018-06-24,8,Hartley
68804,996,154,0,19,19,0,2018-06-24,8,Grosjean
68805,996,825,27,10,10,0,2018-06-24,8,Magnussen
68806,996,842,18,11,11,0,2018-06-24,8,Gasly
68807,996,828,2,17,17,0,2018-06-24,8,Ericsson
68808,996,845,0,20,20,0,2018-06-24,8,Sirotkin
68809,997,20,146,1,1,3,2018-07-01,9,Vettel
68810,997,1,145,2,2,3,2018-07-01,9,Hamilton
68811,997,8,101,3,3,0,2018-07-01,9,Räikkönen
68812,997,817,96,4,4,2,2018-07-01,9,Ricciardo
68813,997,4,36,8,8,0,2018-07-01,9,Alonso
68814,997,830,93,5,5,1,2018-07-01,9,Verstappen
68815,997,807,34,9,9,0,2018-07-01,9,Hülkenberg
68816,997,822,92,6,6,0,2018-07-01,9,Bottas
68817,997,838,8,16,16,0,2018-07-01,9,Vandoorne
68818,997,832,28,10,10,0,2018-07-01,9,Sainz
68819,997,815,23,11,11,0,2018-07-01,9,Pérez
68820,997,839,19,12,12,0,2018-07-01,9,Ocon
68821,997,844,13,14,14,0,2018-07-01,9,Leclerc
68822,997,840,4,17,17,0,2018-07-01,9,Stroll
68823,997,843,1,19,19,0,2018-07-01,9,Hartley
68824,997,154,12,15,15,0,2018-07-01,9,Grosjean
68825,997,825,37,7,7,0,2018-07-01,9,Magnussen
68826,997,842,18,13,13,0,2018-07-01,9,Gasly
68827,997,828,3,18,18,0,2018-07-01,9,Ericsson
68828,997,845,0,20,20,0,2018-07-01,9,Sirotkin
68829,998,20,171,1,1,4,2018-07-08,10,Vettel
68830,998,1,163,2,2,3,2018-07-08,10,Hamilton
68831,998,8,116,3,3,0,2018-07-08,10,Räikkönen
68832,998,817,106,4,4,2,2018-07-08,10,Ricciardo
68833,998,4,40,8,8,0,2018-07-08,10,Alonso
68834,998,830,93,6,6,1,2018-07-08,10,Verstappen
68835,998,807,42,7,7,0,2018-07-08,10,Hülkenberg
68836,998,822,104,5,5,0,2018-07-08,10,Bottas
68837,998,838,8,16,16,0,2018-07-08,10,Vandoorne
68838,998,832,28,10,10,0,2018-07-08,10,Sainz
68839,998,815,24,12,12,0,2018-07-08,10,Pérez
68840,998,839,25,11,11,0,2018-07-08,10,Ocon
68841,998,844,13,14,14,0,2018-07-08,10,Leclerc
68842,998,840,4,17,17,0,2018-07-08,10,Stroll
68843,998,843,1,19,19,0,2018-07-08,10,Hartley
68844,998,154,12,15,15,0,2018-07-08,10,Grosjean
68845,998,825,39,9,9,0,2018-07-08,10,Magnussen
68846,998,842,18,13,13,0,2018-07-08,10,Gasly
68847,998,828,3,18,18,0,2018-07-08,10,Ericsson
68848,998,845,0,20,20,0,2018-07-08,10,Sirotkin
68849,999,20,171,2,2,4,2018-07-22,11,Vettel
68850,999,1,188,1,1,4,2018-07-22,11,Hamilton
68851,999,8,131,3,3,0,2018-07-22,11,Räikkönen
68852,999,817,106,5,5,2,2018-07-22,11,Ricciardo
68853,999,4,40,8,8,0,2018-07-22,11,Alonso
68854,999,830,105,6,6,1,2018-07-22,11,Verstappen
68855,999,807,52,7,7,0,2018-07-22,11,Hülkenberg
68856,999,822,122,4,4,0,2018-07-22,11,Bottas
68857,999,838,8,16,16,0,2018-07-22,11,Vandoorne
68858,999,832,28,12,12,0,2018-07-22,11,Sainz
68859,999,815,30,10,10,0,2018-07-22,11,Pérez
68860,999,839,29,11,11,0,2018-07-22,11,Ocon
68861,999,844,13,15,15,0,2018-07-22,11,Leclerc
68862,999,840,4,18,18,0,2018-07-22,11,Stroll
68863,999,843,2,19,19,0,2018-07-22,11,Hartley
68864,999,154,20,13,13,0,2018-07-22,11,Grosjean
68865,999,825,39,9,9,0,2018-07-22,11,Magnussen
68866,999,842,18,14,14,0,2018-07-22,11,Gasly
68867,999,828,5,17,17,0,2018-07-22,11,Ericsson
68868,999,845,0,20,20,0,2018-07-22,11,Sirotkin
68869,1000,20,189,2,2,4,2018-07-29,12,Vettel
68870,1000,1,213,1,1,5,2018-07-29,12,Hamilton
68871,1000,8,146,3,3,0,2018-07-29,12,Räikkönen
68872,1000,817,118,5,5,2,2018-07-29,12,Ricciardo
68873,1000,4,44,9,9,0,2018-07-29,12,Alonso
68874,1000,830,105,6,6,1,2018-07-29,12,Verstappen
68875,1000,807,52,7,7,0,2018-07-29,12,Hülkenberg
68876,1000,822,132,4,4,0,2018-07-29,12,Bottas
68877,1000,838,8,16,16,0,2018-07-29,12,Vandoorne
68878,1000,832,30,11,11,0,2018-07-29,12,Sainz
68879,1000,815,30,10,10,0,2018-07-29,12,Pérez
68880,1000,839,29,12,12,0,2018-07-29,12,Ocon
68881,1000,844,13,15,15,0,2018-07-29,12,Leclerc
68882,1000,840,4,18,18,0,2018-07-29,12,Stroll
68883,1000,843,2,19,19,0,2018-07-29,12,Hartley
68884,1000,154,21,14,14,0,2018-07-29,12,Grosjean
68885,1000,825,45,8,8,0,2018-07-29,12,Magnussen
68886,1000,842,26,13,13,0,2018-07-29,12,Gasly
68887,1000,828,5,17,17,0,2018-07-29,12,Ericsson
68888,1000,845,0,20,20,0,2018-07-29,12,Sirotkin
68889,1001,20,214,2,2,5,2018-08-26,13,Vettel
68890,1001,1,231,1,1,5,2018-08-26,13,Hamilton
68891,1001,8,146,3,3,0,2018-08-26,13,Räikkönen
68892,1001,817,118,6,6,2,2018-08-26,13,Ricciardo
68893,1001,4,44,9,9,0,2018-08-26,13,Alonso
68894,1001,830,120,5,5,1,2018-08-26,13,Verstappen
68895,1001,807,52,7,7,0,2018-08-26,13,Hülkenberg
68896,1001,822,144,4,4,0,2018-08-26,13,Bottas
68897,1001,838,8,16,16,0,2018-08-26,13,Vandoorne
68898,1001,832,30,12,12,0,2018-08-26,13,Sainz
68899,1001,815,40,10,10,0,2018-08-26,13,Pérez
68900,1001,839,37,11,11,0,2018-08-26,13,Ocon
68901,1001,844,13,15,15,0,2018-08-26,13,Leclerc
68902,1001,840,4,18,18,0,2018-08-26,13,Stroll
68903,1001,843,2,19,19,0,2018-08-26,13,Hartley
68904,1001,154,27,14,14,0,2018-08-26,13,Grosjean
68905,1001,825,49,8,8,0,2018-08-26,13,Magnussen
68906,1001,842,28,13,13,0,2018-08-26,13,Gasly
68907,1001,828,6,17,17,0,2018-08-26,13,Ericsson
68908,1001,845,0,20,20,0,2018-08-26,13,Sirotkin
68963,1002,843,2,19,19,0,2018-09-02,14,Hartley
68966,1002,842,28,13,13,0,2018-09-02,14,Gasly
68958,1002,832,34,12,12,0,2018-09-02,14,Sainz
68968,1002,845,1,20,20,0,2018-09-02,14,Sirotkin
68956,1002,822,159,4,4,0,2018-09-02,14,Bottas
68967,1002,828,6,18,18,0,2018-09-02,14,Ericsson
68952,1002,817,118,6,6,2,2018-09-02,14,Ricciardo
68965,1002,825,49,8,8,0,2018-09-02,14,Magnussen
68964,1002,154,27,14,14,0,2018-09-02,14,Grosjean
68962,1002,840,6,17,17,0,2018-09-02,14,Stroll
68960,1002,839,45,10,10,0,2018-09-02,14,Ocon
68961,1002,844,13,15,15,0,2018-09-02,14,Leclerc
