game_id,game_date,away_team,home_team,home_score,away_score,max_period
2020020001,2021-01-13,PIT,PHI,6,3,3
2020020002,2021-01-13,CHI,T.B,5,1,3
2020020003,2021-01-13,MTL,TOR,5,4,4
2020020004,2021-01-13,VAN,EDM,3,5,3
2020020005,2021-01-13,STL,COL,1,4,3
2020020006,2021-01-14,WSH,BUF,4,6,3
2020020007,2021-01-14,BOS,N.J,2,3,5
2020020008,2021-01-14,NYI,NYR,0,4,3
2020020009,2021-02-22,DAL,FLA,3,1,3
2020020010,2021-01-14,CAR,DET,0,3,3
2020020011,2021-01-14,CBJ,NSH,3,1,3
2020020012,2021-01-14,CGY,WPG,4,3,4
2020020013,2021-01-14,VAN,EDM,5,2,3
2020020014,2021-01-14,S.J,ARI,4,5,5
2020020015,2021-01-14,ANA,VGK,5,2,3
2020020016,2021-01-14,MIN,L.A,3,4,4
2020020017,2021-01-15,WSH,BUF,1,2,3
2020020018,2021-01-15,PIT,PHI,5,2,3
2020020019,2021-01-15,CHI,T.B,5,2,3
2020020020,2021-05-03,DAL,FLA,5,4,4
2020020021,2021-01-15,TOR,OTT,5,3,3
2020020022,2021-01-15,STL,COL,8,0,3
2020020023,2021-01-16,BOS,N.J,2,1,4
2020020024,2021-01-16,NYI,NYR,5,0,3
2020020025,2021-01-16,CAR,DET,4,2,3
2020020026,2021-01-16,CBJ,NSH,5,2,3
2020020027,2021-01-16,TOR,OTT,2,3,3
2020020028,2021-01-16,VAN,CGY,3,0,3
2020020029,2021-01-16,MTL,EDM,1,5,3
2020020030,2021-01-16,S.J,ARI,5,3,3
2020020031,2021-01-16,ANA,VGK,2,1,4
2020020032,2021-01-16,MIN,L.A,3,4,4
2020020033,2021-05-05,DAL,T.B,6,2,3
2020020034,2021-01-17,CHI,FLA,5,2,3
2020020035,2021-01-17,WSH,PIT,4,3,5
2020020036,2021-01-18,BOS,NYI,1,0,3
2020020037,2021-01-18,BUF,PHI,1,6,3
2020020038,2021-01-18,CBJ,DET,2,3,3
2020020039,2021-01-18,S.J,STL,5,4,3
2020020040,2021-01-18,CAR,NSH,2,4,3
2020020041,2021-01-18,WPG,TOR,3,1,3
2020020042,2021-01-18,VAN,CGY,5,2,3
2020020043,2021-01-18,MTL,EDM,1,3,3
2020020044,2021-01-18,ARI,VGK,4,2,3
2020020045,2021-01-18,MIN,ANA,1,0,3
2020020046,2021-01-19,N.J,NYR,3,4,3
2020020047,2021-01-19,BUF,PHI,3,0,3
2020020048,2021-05-07,DAL,T.B,2,5,3
2020020049,2021-01-19,CHI,FLA,5,4,4
2020020050,2021-01-19,WSH,PIT,5,4,4
2020020051,2021-01-19,CBJ,DET,3,2,4
2020020052,2021-03-02,CAR,NSH,2,4,3
2020020053,2021-01-19,WPG,OTT,3,4,4
2020020054,2021-01-19,COL,L.A,2,3,3
2020020055,2021-01-20,S.J,STL,1,2,5
2020020056,2021-01-20,EDM,TOR,1,3,3
2020020057,2021-01-20,MTL,VAN,7,6,5
2020020058,2021-01-20,ARI,VGK,5,2,3
2020020059,2021-01-20,MIN,ANA,2,3,3
2020020060,2021-01-21,PHI,BOS,5,4,5
2020020061,2021-01-21,N.J,NYI,4,1,3
2020020062,2021-02-17,FLA,CAR,3,4,4
2020020063,2021-01-21,T.B,CBJ,2,3,4
2020020064,2021-01-21,WPG,OTT,1,4,3
2020020065,2021-01-21,MTL,VAN,3,7,3
2020020066,2021-01-21,COL,L.A,4,2,3
2020020067,2021-01-22,BUF,WSH,4,3,5
2020020068,2021-01-22,NYR,PIT,5,4,5
2020020069,2021-01-22,DET,CHI,4,1,3
2020020070,2021-01-22,EDM,TOR,4,2,3
2020020071,2021-01-22,S.J,MIN,4,1,3
2020020072,2021-01-22,NSH,DAL,7,0,3
2020020073,2021-01-22,VGK,ARI,5,2,3
2020020074,2021-01-22,COL,ANA,2,3,4
2020020075,2021-01-23,PHI,BOS,6,1,3
2020020076,2021-03-07,FLA,CAR,4,2,3
2020020077,2021-01-23,T.B,CBJ,5,2,3
2020020078,2021-01-23,L.A,STL,4,2,3
2020020079,2021-01-23,OTT,WPG,6,3,3
2020020080,2021-01-23,MTL,VAN,2,5,3
2020020081,2021-01-24,NYI,N.J,2,0,3
2020020082,2021-01-24,BUF,WSH,3,4,5
2020020083,2021-01-24,NYR,PIT,3,2,3
2020020084,2021-01-24,DET,CHI,6,2,3
2020020085,2021-01-24,L.A,STL,3,6,3
2020020086,2021-01-24,EDM,WPG,3,4,3
2020020087,2021-01-24,TOR,CGY,2,3,3
2020020088,2021-01-24,S.J,MIN,3,5,3
2020020089,2021-01-24,NSH,DAL,3,2,3
2020020090,2021-01-24,VGK,ARI,0,1,3
2020020091,2021-01-24,COL,ANA,3,1,3
2020020092,2021-01-25,OTT,VAN,7,1,3
2020020093,2021-01-26,PIT,BOS,3,2,4
2020020094,2021-01-26,NYR,BUF,3,2,3
2020020095,2021-01-26,PHI,N.J,3,5,3
2020020096,2021-01-26,NYI,WSH,3,2,3
2020020097,2021-02-22,T.B,CAR,2,4,3
2020020098,2021-01-26,FLA,CBJ,4,5,5
2020020099,2021-01-26,CHI,NSH,3,2,4
2020020100,2021-01-26,EDM,WPG,6,4,3
2020020101,2021-01-26,TOR,CGY,3,4,3
2020020102,2021-01-26,L.A,MIN,1,2,3
2020020103,2021-01-26,DET,DAL,2,1,4
2020020104,2021-01-26,S.J,COL,7,3,3
2020020105,2021-01-26,ANA,ARI,0,1,3
2020020106,2021-01-26,STL,VGK,5,6,5
2020020107,2021-01-27,CHI,NSH,2,1,5
2020020108,2021-01-27,OTT,VAN,5,1,3
2020020109,2021-01-28,PIT,BOS,4,1,3
2020020110,2021-01-28,NYR,BUF,2,3,4
2020020111,2021-01-28,PHI,N.J,1,3,3
2020020112,2021-01-28,NYI,WSH,6,3,3
2020020113,2021-01-28,T.B,CAR,1,0,4
2020020114,2021-01-28,FLA,CBJ,3,2,5
2020020115,2021-01-28,CGY,MTL,4,2,3
2020020116,2021-01-28,TOR,EDM,3,4,3
2020020117,2021-01-28,OTT,VAN,4,1,3
2020020118,2021-01-28,L.A,MIN,5,3,3
2020020119,2021-01-28,DET,DAL,7,3,3
2020020120,2021-01-28,S.J,COL,3,0,3
2020020121,2021-01-28,ANA,ARI,3,2,3
2020020122,2021-03-22,STL,VGK,5,1,3
2020020123,2021-01-29,CBJ,CHI,1,2,3
2020020124,2021-01-30,N.J,BUF,4,3,5
2020020125,2021-01-30,PIT,NYR,4,5,4
2020020126,2021-01-30,NYI,PHI,3,2,4
2020020127,2021-01-30,BOS,WSH,4,3,4
2020020128,2021-01-30,DAL,CAR,4,1,3
2020020129,2021-01-30,NSH,T.B,4,3,3
2020020130,2021-01-30,FLA,DET,2,3,4
2020020131,2021-01-30,CGY,MTL,0,2,3
2020020132,2021-01-30,VAN,WPG,1,4,3
2020020133,2021-01-30,TOR,EDM,4,3,4
2020020134,2021-01-30,COL,MIN,1,5,3
2020020135,2021-01-30,STL,ANA,1,6,3
2020020136,2021-01-31,N.J,BUF,3,5,3
2020020137,2021-01-31,NYI,PHI,4,3,4
2020020138,2021-01-31,DAL,CAR,5,4,5
2020020139,2021-01-31,FLA,DET,2,3,3
2020020140,2021-01-31,CBJ,CHI,3,1,3
2020020141,2021-01-31,OTT,EDM,8,5,3
2020020142,2021-01-31,COL,MIN,4,3,4
2020020143,2021-01-31,STL,ANA,1,4,3
2020020144,2021-02-01,PIT,NYR,3,1,3
2020020145,2021-02-01,BOS,WSH,3,5,3
2020020146,2021-02-01,NSH,T.B,5,2,3
2020020147,2021-02-01,VAN,MTL,6,2,3
2020020148,2021-02-01,CGY,WPG,4,5,5
2020020149,2021-02-13,VGK,S.J,1,3,3
2020020150,2021-02-22,BUF,NYI,3,2,3
2020020151,2021-03-21,N.J,PIT,1,2,4
2020020152,2021-02-02,DAL,CBJ,3,6,3
2020020153,2021-02-02,CAR,CHI,3,4,5
2020020154,2021-02-02,ARI,STL,4,3,3
2020020155,2021-02-02,VAN,MTL,5,3,3
