Player,Season,Position,GP,TOI
A.J. Greer,20-21,L,1,8.55
Aaron Ekblad,20-21,D,35,878.18
Aaron Ness,20-21,D,1,12.83
Adam Boqvist,20-21,D,35,594.65
Adam Brooks,20-21,C,11,117.45
Adam Erne,20-21,L,45,626.45
Adam Fox,20-21,D,55,1358.85
Adam Gaudette,20-21,C,40,444.85
Adam Henrique,20-21,C,45,721.8
Adam Larsson,20-21,D,56,1100.25
Adam Lowry,20-21,L,52,807.35
Adam Pelech,20-21,D,56,1178.6
Adam Ruzicka,20-21,C,3,32.25
Adrian Kempe,20-21,L,56,948.22
Alec Martinez,20-21,D,53,1195.98
Alec Regula,20-21,D,3,37.13
Aleksander Barkov,20-21,C,50,1046.87
Aleksi Heponiemi,20-21,C,9,110.13
Alex Barabanov,20-21,L,22,270.87
Alex Barre-Boulet,20-21,C,15,228.78
Alex Belzile,20-21,R,2,21.28
Alex Biega,20-21,D,13,138.6
Alex Carrier,20-21,D,19,380.9
Alex Chiasson,20-21,R,45,561.78
Alex Chmelevski,20-21,C,5,48.77
Alex Debrincat,20-21,R,52,1067.07
Alex Edler,20-21,D,52,1087.13
Alex Formenton,20-21,L,20,239.88
Alex Galchenyuk,20-21,C,34,432.02
Alex Goligoski,20-21,D,56,1288.37
Alex Iafallo,20-21,L,55,1093.8
Alex Kerfoot,20-21,C,56,808.88
Alex Killorn,20-21,C,56,1001.6
Alex Newhook,20-21,C,6,82.07
Alex Ovechkin,20-21,L,45,877.58
Alex Pietrangelo,20-21,D,41,1001.73
Alex Radulov,20-21,R,11,195.68
Alex Romanov,20-21,D,54,931.83
Alex Texier,20-21,C,49,776.13
Alex True,20-21,C,7,69.93
Alex Tuch,20-21,R,55,925.45
Alex Volkov,20-21,R,37,431
Alex Wennberg,20-21,C,56,1017.35
Alexis Lafrenière,20-21,L,56,777.42
Anders Bjork,20-21,L,45,624.68
Anders Lee,20-21,C,27,473.2
Andre Burakovsky,20-21,L,53,799.88
Andreas Athanasiou,20-21,C,47,702.62
Andreas Borgman,20-21,D,7,83.72
Andreas Johnsson,20-21,L,50,696.7
Andrei Svechnikov,20-21,R,55,964.65
Andrej Sekera,20-21,D,46,719.43
Andrew Agozzino,20-21,L,3,36.53
Andrew Cogliano,20-21,C,54,752.02
Andrew Copp,20-21,C,55,1003.77
Andrew Mangiapane,20-21,L,56,933.42
Andrew Peeke,20-21,D,11,188.68
Andrew Shaw,20-21,C,14,211.55
Andy Andreoff,20-21,C,6,51.65
Andy Greene,20-21,D,55,966.78
Andy Welinski,20-21,D,13,195.33
Anthony Angello,20-21,C,19,151.68
Anthony Beauvillier,20-21,L,47,770.85
Anthony Bitetto,20-21,D,14,202.17
Anthony Cirelli,20-21,C,50,887.35
Anthony Duclair,20-21,L,43,674.43
Anthony Mantha,20-21,R,56,1014.93
Antoine Roussel,20-21,L,35,402.7
Anton Blidh,20-21,L,10,107.73
Anton Stralman,20-21,D,38,720.08
Antti Suomela,20-21,C,4,44.48
Anze Kopitar,20-21,C,56,1186.23
Artem Anisimov,20-21,C,19,228.48
Artem Zub,20-21,D,47,863.97
Artemi Panarin,20-21,C,42,825
Arthur Kaliyev,20-21,R,1,14.7
Arttu Ruotsalainen,20-21,C,17,237.68
Artturi Lehkonen,20-21,L,47,630.92
Austin Czarnik,20-21,C,4,49.97
Austin Poganski,20-21,R,5,37.82
Austin Strand,20-21,D,13,180.05
Austin Wagner,20-21,L,44,462.03
Austin Watson,20-21,L,34,408.08
Auston Matthews,20-21,C,52,1120.77
Barclay Goodrow,20-21,C,55,831.63
Barrett Hayton,20-21,C,14,160.85
Ben Chiarot,20-21,D,41,893.28
Ben Harpur,20-21,D,34,558.65
Ben Hutton,20-21,D,38,701.44
Ben Thomas,20-21,D,5,71.18
Blake Coleman,20-21,C,55,850.58
Blake Comeau,20-21,L,51,802.75
Blake Lizotte,20-21,C,41,520.95
Blake Wheeler,20-21,R,50,917.03
Bo Horvat,20-21,C,56,1113.82
Bobby Ryan,20-21,R,33,505.72
Boone Jenner,20-21,C,41,737.97
Bowen Byram,20-21,D,19,332.72
Brad Hunt,20-21,D,12,148
Brad Marchand,20-21,C,53,1002.25
Brad Richardson,20-21,R,17,208.48
Brady Keeper,20-21,D,1,9.47
Brady Skjei,20-21,D,52,1078.08
Brady Tkachuk,20-21,L,56,1020.87
Brandon Carlo,20-21,D,27,505.15
Brandon Davidson,20-21,D,6,92.02
Brandon Hagel,20-21,L,52,727.42
Brandon Montour,20-21,D,50,1024.3
Brandon Pirri,20-21,C,1,11.48
Brandon Saad,20-21,L,44,619.5
Brandon Sutter,20-21,C,43,648.35
Brandon Tanev,20-21,L,32,461.93
Brayden McNabb,20-21,D,41,791.25
Brayden Point,20-21,C,56,1032.42
Brayden Schenn,20-21,C,56,1072.03
Braydon Coburn,20-21,D,19,304.85
Brendan Gallagher,20-21,R,35,525.33
Brendan Lemieux,20-21,L,49,496.49
Brendan Smith,20-21,D,48,788.83
Brenden Dillon,20-21,D,56,1060.83
Brent Burns,20-21,D,56,1463.33
Brett Connolly,20-21,R,31,376.48
Brett Howden,20-21,C,42,527.5
Brett Kulak,20-21,D,46,740.95
Brett Murray,20-21,L,2,21.25
Brett Pesce,20-21,D,55,1253.57
Brett Ritchie,20-21,R,32,363.93
Brian Dumoulin,20-21,D,41,916.53
Brian Pinho,20-21,C,2,15.62
Brinson Pasichnuk,20-21,D,4,46.43
Brock Boeser,20-21,R,56,1081.9
Brock McGinn,20-21,L,37,554.47
Brock Nelson,20-21,C,56,998.58
Brogan Rafferty,20-21,D,1,13.97
Bryan Rust,20-21,R,56,1104.55
Buddy Robinson,20-21,R,9,64.23
Byron Froese,20-21,C,6,49.75
C.J. Smith,20-21,L,1,7.95
Cal Clutterbuck,20-21,R,50,671.82
